1	刘一	19890172858		5279632		15543177750		liuyi@163.com		未知
2	陈二	18741995534		5458931		14527214096		chener@163.com		同事
3	张三	15318374113		5753654		15613001848		zhangsan@163.com		亲戚
4	李四	18597095573		5756953		16605517268		lisi@163.com		朋友
5	王五	13544433931		5412367		14708538075		wangwu@163.com		家人
6	赵六	15047751055		5943672		14758427080		zhaoliu@163.com		同学
7	孙七	13013025359		5145965		17829449702		sunqi@163.com		未知
8	周八	14743573808		5156931		19850395418		zhouba@163.com		同事
9	吴九	15026411172		5856347		14920376915		wujiu@163.com		亲戚
10	郑十	18897432248		5325648		17353634812		zhengshi@163.com		朋友
